t,ion_current_M2,ion_current_M32,ion_current_M44,E,current1_muA,j,current1_mA_geo
110.6,8.795941713235295e-09,4.080607474264706e-08,5.696514216911765e-10,0.3798066663718167,-11.512970537189815,-29.915855847593683,-0.0299158558475936
110.7,8.792727375e-09,4.080155301470589e-08,5.701752084558823e-10,0.3750610378797872,-11.56445748983109,-30.049642019309555,-0.0300496420193095
110.8,8.789513036764707e-09,4.081639860294117e-08,5.698521856617644e-10,0.3700696240111887,-11.781288571524971,-30.61306632082048,-0.0306130663208204
110.9,8.788639360294119e-09,4.083124419117648e-08,5.663435459558824e-10,0.3651425445322615,-12.108331987856774,-31.462871648410143,-0.0314628716484101
111.0,8.793227227941176e-09,4.08507669117647e-08,5.6283490625e-10,0.3606236169984908,-12.66911259686522,-32.920030928635086,-0.032920030928635
111.1,8.797815095588235e-09,4.087760514705882e-08,5.624710036764704e-10,0.355926941842936,-13.300641078431564,-34.5610248803837,-0.0345610248803837
111.2,8.799344529411764e-09,4.090444338235294e-08,5.65380194852941e-10,0.3513248670352888,-14.036348153565454,-36.47272149548964,-0.0364727214954896
111.3,8.798659235294118e-09,4.08966563099631e-08,5.682893860294119e-10,0.3467723853301152,-14.97336460351335,-38.90751006312437,-0.0389075100631243
111.4,8.797973941176469e-09,4.0871814981549823e-08,5.702127790441173e-10,0.3425599788666234,-15.950575670989965,-41.446742256316384,-0.0414467422563163
111.5,8.790342882352942e-09,4.084697365313656e-08,5.71841712867647e-10,0.3381209036761282,-17.10086632454838,-44.43571276254053,-0.0444357127625405
111.6,8.781581117647056e-09,4.082645176470589e-08,5.733114647058823e-10,0.3338572553148424,-18.37767096376616,-47.753423288159695,-0.0477534232881596
111.7,8.77521731617647e-09,4.080610985294118e-08,5.717567588235294e-10,0.3295575665733983,-19.69481190413601,-51.175945596871024,-0.051175945596871
111.8,8.783583860294117e-09,4.080478088235294e-08,5.702020529411761e-10,0.3253726935831362,-21.35752406290577,-55.49641676433558,-0.0554964167643355
111.9,8.791950404411764e-09,4.0863659558823537e-08,5.70030338235294e-10,0.3213054255991305,-23.11139832029192,-60.05376790922754,-0.0600537679092275
112.0,8.799411323529411e-09,4.0922538235294126e-08,5.72666514705882e-10,0.3173439448812277,-25.14985855144264,-65.35060092284199,-0.0653506009228419
112.1,8.805621617647058e-09,4.094117426470588e-08,5.753026911764703e-10,0.3133558487192006,-27.401504216013155,-71.20138521031681,-0.0712013852103168
112.2,8.811831911764704e-09,4.092266323529412e-08,5.75681351838235e-10,0.3093899824517173,-29.86126214374361,-77.59293840228055,-0.0775929384022805
112.3,8.802441985294115e-09,4.0904152205882345e-08,5.746166827205883e-10,0.3056871568790239,-32.43398982688252,-84.27803763494857,-0.0842780376349485
112.4,8.78636625e-09,4.091268235294118e-08,5.735520136029411e-10,0.3018372217447703,-34.72318828366845,-90.22640090214564,-0.0902264009021456
112.5,8.770290514705883e-09,4.0927972794117646e-08,5.701113389705883e-10,0.2978711074529824,-36.67703769202145,-95.30337708821185,-0.0953033770882118
112.6,8.775363701107008e-09,4.0940580588235286e-08,5.663770007352937e-10,0.2937224324228913,-38.04246877551733,-98.8513788251864,-0.0988513788251864
112.7,8.78086849815498e-09,4.092233794117648e-08,5.632955249999997e-10,0.2890419669572259,-38.25789332673136,-99.41114833031402,-0.099411148330314
112.8,8.7845883125e-09,4.0904095294117646e-08,5.634015544117645e-10,0.2838755390630605,-36.858817212679135,-95.77572172928198,-0.0957757217292819
112.9,8.7834820625e-09,4.088811852941177e-08,5.635075838235294e-10,0.2778953443856517,-33.180550204232766,-86.21793599203988,-0.0862179359920398
113.0,8.7823758125e-09,4.087617e-08,5.65106078966789e-10,0.2710140963419675,-27.115425941126087,-70.45802567465185,-0.0704580256746518
113.1,8.780517761029413e-09,4.086422147058824e-08,5.68528698892989e-10,0.2632900210123765,-20.15848546314982,-52.380777252349546,-0.0523807772523495
113.2,8.778044599264706e-09,4.087078117647058e-08,5.719513188191883e-10,0.2555112881872776,-14.02953917456449,-36.45502871727883,-0.0364550287172788
113.3,8.775571437499999e-09,4.088775176470588e-08,5.706497933823528e-10,0.2481222312631467,-10.053730018200904,-26.124095165845635,-0.0261240951658456
113.4,8.767755455882353e-09,4.0904722352941184e-08,5.676884330882353e-10,0.2411823266497952,-7.7201175804658115,-20.060324476437177,-0.0200603244764371
113.5,8.758845161764707e-09,4.0894015147058826e-08,5.648401735294118e-10,0.2349434180780994,-6.402263752760495,-16.635949767018793,-0.0166359497670187
113.6,8.753441077205886e-09,4.0880901176470585e-08,5.675338500000001e-10,0.229010139478686,-5.808743637139754,-15.09371857966346,-0.0150937185796634
113.7,8.776405415441178e-09,4.086813573529412e-08,5.70227526470588e-10,0.2232290894812437,-5.444428724562091,-14.147065205315265,-0.0141470652053152
113.8,8.799369753676473e-09,4.085676441176472e-08,5.719059786764703e-10,0.2177563561050397,-5.2182112371112686,-13.55925081606421,-0.0135592508160642
113.9,8.811435025735293e-09,4.0845393088235305e-08,5.712155742647059e-10,0.2125016259058376,-4.9861542372509655,-12.956262757176988,-0.0129562627571769
114.0,8.806453040441176e-09,4.084323000000001e-08,5.70525169852941e-10,0.2073221052158592,-4.915164757510887,-12.771800281941792,-0.0127718002819417
114.1,8.801471055147058e-09,4.08510425e-08,5.712106022058825e-10,0.2021909059118073,-4.804366927944461,-12.483897877707507,-0.0124838978777075
114.2,8.794785249999999e-09,4.0858855000000006e-08,5.728923301470589e-10,0.1972180286475157,-4.745889436102619,-12.331947153034118,-0.0123319471530341
114.3,8.787260249999999e-09,4.0881725e-08,5.745740580882354e-10,0.1922905760666516,-4.681135767905709,-12.163688110146431,-0.0121636881101464
114.4,8.77973525e-09,4.090935e-08,5.721348683823527e-10,0.1885067569618579,-4.074960276967136,-10.588572587468388,-0.0105885725874683
114.5,8.782942455882353e-09,4.093581081180813e-08,5.690248316176472e-10,0.183879463646295,-3.885511370666237,-10.096299446225265,-0.0100962994462252
114.6,8.786714514705883e-09,4.093433110701108e-08,5.664616029411761e-10,0.1792477189434887,-3.8568828542015887,-10.021909733429563,-0.0100219097334295
114.7,8.788160783088237e-09,4.093285140221402e-08,5.67257338235294e-10,0.1747112122823449,-3.565294358693623,-9.264232175734517,-0.0092642321757345
114.8,8.781820709558824e-09,4.092761125e-08,5.680530735294117e-10,0.1701326310709892,-3.9731127801592834,-10.323927157941762,-0.0103239271579417
114.9,8.775480636029412e-09,4.091473625e-08,5.689658683823526e-10,0.1636008642658059,-4.270656679313855,-11.097079522632152,-0.0110970795226321
115.0,8.776232374999998e-09,4.090186125e-08,5.700403169117644e-10,0.1584008130254122,-4.571649036223613,-11.879192525653671,-0.0118791925256536
115.1,8.783797816176471e-09,4.0905828529411766e-08,5.711147654411763e-10,0.1534091005392422,-4.577365448288685,-11.894046325439898,-0.0118940463254398
